data_granularity,zone,country
CH01,CH00,CH
CH02,CH00,CH
CH03,CH00,CH
CH04,CH00,CH
CH05,CH00,CH
CH06,CH00,CH
CH07,CH00,CH
ITCN,ITCN,IT
ITCS,ITCS,IT
ITN1,ITN1,IT
ITS1,ITS1,IT
ITSA,ITSA,IT
ITSI,ITSI,IT
DKE1,DKE1,DK
DKW1,DKW1,DK
AT00,AT00,AT
BE00,BE00,BE
CZ00,CZ00,CZ
DE00,DE00,DE
ES00,ES00,ES
FR00,FR00,FR
UK00,UK00,UK
HU00,HU00,HU
LU00,LU00,LU
NL00,NL00,NL
PL00,PL00,PL
PT00,PT00,PT
SI00,SI00,SI
SK00,SK00,SK
HR00,HR00,HR
SE01,SE01,SE
SE02,SE02,SE
SE03,SE03,SE
SE04,SE04,SE
NON1,NON1,NO
NOM1,NOM1,NO
NOS0,NOS0,NO
